time,smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
138.7321999,4.11,0.32,0,0.6,0.41,0,-16.55,-1.46,4.54
138.9675031,3.59,0.34,0,0.32,0.42,0,-16.35,-1.45,4.26
139.200809,3.47,0.34,0,0,0.43,0,-17.31,-0.41,4.45
139.4331298,3.5,0.33,0,1.34,0.39,0,-15.73,0.54,5.85
139.662596,6.43,0.27,0.01,1.7,0.38,0,-15.37,1.41,6.04
139.9026029,10.46,0.21,0.01,61.8,0,58.12,-13.88,0.4,5.25
140.1329699,11.16,0.18,0.01,10.44,0.2,0.01,-11.19,2.41,4.88
140.367486,8.15,0.12,0.01,0.49,0.41,0,-10.73,1.85,2.3
140.601161,6.93,0.11,0.01,5.74,0.13,0.01,-11.76,3.65,2.78
140.8334608,6.92,0.11,0.01,0.09,0.42,0,-12.41,2.22,1.76
141.068265,5.46,0.21,0,2.59,0.35,0,-13.51,1.98,2.51
141.300118,3.9,0.25,0,0.63,0.41,0,-12.9,1.23,1.25
141.53443,7.8,0.21,0.01,0.2,0.42,0,-13.33,0.63,2.55
141.766171,10.38,0.21,0.01,4.19,0.31,0,-14.23,-0.01,1.48
142.0009041,11.33,0.22,0.01,0.46,0.41,0,-14.86,0.6,1.73
142.2332799,9.29,0.24,0.01,16.95,0.12,0.04,-14.04,0.75,1.38
142.4625659,10.28,0.21,0.01,23.15,0.08,0.12,-12.82,1.6,0.14
142.7012858,7.59,0.24,0.01,24.81,0.07,0.17,-15.31,0,0.97
142.934,9.05,0.21,0.01,4.47,0.31,0,-15.24,-1.04,2.24
143.1678469,9.15,0.17,0.01,90.51,0,99.61,-15.44,-0.04,0.9
143.3993468,13.48,0.12,0.02,78.93,0,96.89,-15.62,-0.4,0
143.6345859,21.89,0.08,0.07,34.01,0.04,0.86,-16.65,1.42,-0.95
143.865134,50.11,0.02,7.18,76.67,0,95.21,-18.44,2.46,-1.44
144.1014581,64.33,0.01,45.19,66.24,0,75.54,-17.51,2.26,-1.9
144.3344331,71.78,0,73.42,1.16,0.4,0,-18.8,2.9,-0.93
144.567493,77.07,0,88.04,99.17,0,99.92,-15.09,1.55,-1.3
144.800184,79.84,0,91.78,15.26,0.14,0.02,-16.75,3.98,-1.39
145.0347519,65,0.01,52.06,82.22,0,98.26,-14.32,2.34,-1.04
145.2681289,55.69,0.01,16.63,0.06,0.47,0,-8.21,10.55,5.03
