smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
99.96,0,99.93,100,0,99.93,-17.1,0.13,-8.38
99.98,0,99.93,99.99,0.01,99.93,-14.69,2.49,-6.77
99.99,0,99.93,99.67,0,99.93,-15.05,0.65,-6.69
99.99,0,99.93,100,0,99.93,-16.14,-0.11,-5.24
100,0,99.93,100,0,99.93,-12.84,-1.24,-6.14
100,0,99.93,100,0,99.93,-14.85,0.72,-9.48
100,0,99.93,100,0,99.93,-17.72,5.85,-11.01
99.99,0,99.93,100,0,99.93,-20.66,4.94,-9.48
99.99,0,99.93,99.86,0,99.93,-21.21,2.13,-11.23
99.97,0,99.93,100,0,99.93,-19.92,2.68,-9.43
99.94,0,99.93,100,0,99.93,-20.04,2.49,-9.06
99.94,0,99.93,100,0,99.93,-19,1.85,-9.66
99.97,0,99.93,100,0,99.93,-17.46,2.95,-8.65
99.98,0,99.93,100,0,99.93,-17.39,2.59,-8.61
99.98,0,99.93,99.96,0.01,99.93,-16.93,1.95,-8
99.9,0,99.92,99.69,0,99.93,-16.51,2.33,-8.93
99.26,0,99.57,90.54,0,99.61,-16.31,3.04,-7.19
92.44,0,98.54,79.72,0,97.3,-16.07,0.91,-7.59
67.29,0,52.31,96.91,0,99.88,-15.56,1.29,-8.01
19.54,0,0.04,92.52,0,99.73,-15.85,1.85,-7.97
14.95,0,0.02,96.41,0,99.87,-15.28,2.04,-8.2
19.79,0,0.05,57.07,0.01,35.65,-16.65,0.79,-7.7
16.7,0,0.03,91.44,0,99.67,-15.62,0.21,-7.83
14.77,0,0.02,96.11,0,99.86,-15.86,0.56,-8.5
16.02,0,0.03,92.65,0,99.74,-15.82,0.71,-8.05
16.54,0,0.03,92.93,0,99.75,-15.76,0.72,-8.59
14.43,0,0.02,88.76,0,99.47,-15.38,1.22,-8.13
14.81,0,0.02,82.27,0.01,98.29,-13.92,1.04,-7.98
11.35,0,0.01,96.65,0,99.87,-14.3,0.37,-6.9
13.6,0,0.02,69.93,0,85.87,-14.98,1.2,-7.7
13.17,0,0.02,98.02,0,99.9,-13.97,1.32,-7.4
17.95,0,0.03,99.43,0,99.92,-15.45,1.21,-7.89
28.35,0,0.22,99.68,0,99.93,-14.85,0.45,-7.78
35.44,0.02,1.69,98.17,0,99.9,-14.63,1.73,-7.82
24.9,0.04,0.53,98.69,0,99.91,-13.96,1.07,-8.11
13.77,0.05,0.09,90.68,0,99.62,-13.58,2.51,-8.37
7.85,0.04,0.03,76.78,0,95.4,-14,1.18,-7
5.12,0.03,0.01,98.12,0,99.9,-14.59,0.97,-7.3
5.71,0.07,0.01,98.83,0,99.91,-13.59,0.02,-7.56
8.94,0.2,0.02,99.68,0,99.93,-13.78,-0.03,-7.4
19.78,0.2,0.18,96.3,0,99.86,-13.54,0.57,-8.06
29.53,0.13,0.67,29.61,0.05,0.39,-13.41,0.78,-6.17
34.04,0.04,0.6,95.4,0,99.84,-13.54,-0.54,-7.4
26.99,0.03,0.17,54.76,0.01,27.77,-13.39,-0.24,-6.62
18.94,0.03,0.04,98.45,0,99.91,-13.89,0.9,-7.55
23.7,0.01,0.09,99.62,0,99.93,-13.25,0.39,-7.36
30.45,0.01,0.3,99.14,0,99.92,-13.94,0.23,-7.01
48.39,0.01,8.04,99.86,0,99.93,-14.22,-0.76,-6.99
69.5,0.01,86.07,99.72,0,99.93,-13.81,-0.5,-7.71
89.7,0,99.55,99.92,0,99.93,-13.92,-1.22,-7.02
92.95,0,99.67,99.92,0,99.93,-13.69,-0.92,-7.3
96.6,0,99.7,99.99,0,99.93,-14.2,-1.41,-6.61
97.46,0,99.62,99.99,0,99.93,-13.23,-1.18,-8.54
98.13,0,99.78,100,0,99.93,-13.89,-1.15,-8.44
98.31,0,99.77,100,0,99.93,-12.76,-2.19,-7.98
98.65,0,99.86,99.6,0,99.93,-12.17,-0.75,-6.94
98.21,0,99.86,100,0,99.93,-13.42,-2.24,-8.47
97.97,0,99.89,99.99,0,99.93,-12.51,-1.87,-8.2
98.16,0,99.9,99.99,0,99.93,-13.54,-1.98,-7.45
98.26,0,99.9,99.99,0,99.93,-13.72,-1.82,-7.12
98.77,0,99.9,100,0,99.93,-14.31,-2.17,-8.5
99.53,0,99.92,100,0,99.93,-14.3,-2.46,-8.82
99.86,0,99.93,100,0,99.93,-15.53,-0.93,-9.4
99.92,0,99.93,99.91,0,99.93,-16.15,-0.05,-8.06
99.96,0,99.93,100,0,99.93,-17.33,-0.49,-9.01
99.95,0,99.92,100,0,99.93,-16.89,-0.17,-9.22
99.34,0,99.9,97.26,0,99.88,-15.81,2.54,-10.49
94.48,0,99.74,99.96,0,99.93,-11.58,2,-10.29
88.3,0.01,99.44,100,0,99.93,-6.63,2.38,-8.87
68.94,0.03,65.42,99.99,0,99.93,-8.81,2.5,-8.21
70.37,0.03,62.92,100,0,99.93,-7.15,2.7,-10.42
90.05,0.01,99.54,100,0,99.93,-7.34,1.72,-11.45
96.73,0,99.88,100,0,99.93,-9.56,1.81,-8.47
98.16,0,99.91,99.98,0,99.93,-13.21,1.71,-9.27
99.34,0,99.92,100,0,99.93,-13.85,1.85,-11.4
99.59,0,99.93,100,0,99.93,-14.48,4.1,-11.84
99.86,0,99.93,100,0,99.93,-12.44,4.07,-11.38
99.91,0,99.93,100,0,99.93,-13.12,4.73,-10.05
99.94,0,99.93,100,0,99.93,-15.37,4.61,-10.92
99.94,0,99.93,100,0,99.93,-15.15,4.17,-10.54
99.91,0,99.93,99.98,0,99.93,-15.25,5.04,-9.02
99.87,0,99.93,99.81,0.01,99.93,-18.09,6.06,-8.23
99.74,0,99.92,99.73,0,99.93,-15.71,6.62,-10.33
99.53,0,99.92,99.62,0,99.93,-17.04,4.66,-8.32
99.2,0,99.91,99.99,0,99.93,-16.74,5.23,-8.9
99.2,0,99.91,99.89,0,99.93,-16.18,5.13,-9.07
98.68,0,99.89,99.52,0,99.92,-17.4,3.05,-8.54
97.94,0,99.85,99.21,0,99.92,-16.39,3.63,-7.7
90.36,0,98.69,60.34,0.01,51.54,-15.01,3.88,-9.42
28.04,0,0.17,2.12,0.36,0,-13.8,1.4,-9.83
1.23,0.01,0,0.12,0.41,0,-12.85,1.83,-9.79
0.04,0.19,0,0,0.43,0,-14.2,2.88,-10.74
0,0.42,0,0,0.43,0,-15.39,5.07,-9.02
0,0.48,0,0,0.43,0,-11.83,5.67,-9.13
0,0.49,0,14.4,0.21,0,-11.81,4.96,-8.19
0,0.96,0,17.66,1.8,0.01,-6.03,1.47,-8.24
0.01,51.87,0,53.68,0.01,21.59,-14.57,3.89,-6
0.05,99.88,0,2.18,12.71,0,-14.39,3.46,-7.38
0.3,99.86,0,32.43,0.05,0.39,-14.13,3.56,-6.18
1.28,99.78,0,85.83,0.03,99.07,-12.62,5.67,-6.95
1.09,64.75,0,95.89,0,99.85,-12.5,3.86,-7.26
12.8,11.22,0.01,99.98,0,99.93,-13.55,3.92,-5.6
61.14,0.09,70.84,100,0,99.93,-13.45,4.78,-7.11
92.86,0.01,99.78,99.98,0,99.93,-14.81,2.16,-7.43
